Summons Number,Registration State,Plate Type,Issue Date,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Violation Precinct,Issuer Precinct,Issuer Code,Violation Time,Front Of Or Opposite,From Hours In Effect,To Hours In Effect,Vehicle Year,Feet From Curb,Violation Code
2515962375,NY,PAS,7/9/2017,SUBN,VOLKS,X,29605,13113,13113,19,977,922117,0748P,F,ALL,ALL,2016,0,20
2513839124,NY,PAS,6/17/2017,SUBN,FORD,P,17390,22640,22840,107,107,961143,0227A,F,ALL,ALL,2002,0,98
2524441443,NY,PAS,7/10/2017,SDN,MERCU,P,51090,64790,23070,103,883,346406,0346P,F,ALL,ALL,2008,0,19
2461896436,NY,PAS,7/1/2017,SDN,TOYOT,P,63820,63120,24620,50,7,579508,0248A,O,ALL,ALL,2013,0,98
2510545556,PA,PAS,7/4/2017,SDN,,K,0,0,0,122,5,160678,0731P,,ALL,ALL,0,0,40
2515535290,NY,PAS,7/14/2017,SUBN,FORD,P,0,0,0,75,802,950998,0543A,F,ALL,ALL,2004,0,40
2514021236,PA,PAS,6/15/2017,VAN,HONDA,P,53790,21540,21540,106,106,925605,0610P,F,ALL,ALL,2004,0,46
2511606941,NY,PAS,6/30/2017,SDN,CADIL,S,0,0,0,100,0,669052,0745A,,0730A,0800A,2014,0,21
2523851881,NY,PAS,7/2/2017,FOUR,CHEVR,P,38520,26880,22240,43,808,962103,1027A,F,ALL,ALL,0,3,40
2510322877,PA,PAS,7/18/2017,SDN,HYUND,S,60790,33140,33190,100,0,534917,0838A,F,0830A,1000A,0,0,21
2511120981,NJ,PAS,6/21/2017,SDN,ACURA,P,27390,11420,40220,48,48,944856,0701A,F,ALL,ALL,2014,0,98
2516243639,NY,PAS,6/20/2017,SUBN,SUBAR,P,33380,10460,44130,121,121,946703,1210P,F,ALL,ALL,2008,0,98
2515273685,99,PAS,5/19/2018,SDN,ACURA,F,36130,31190,10810,28,59,914138,1150A,F,ALL,ALL,2014,0,46
2515962168,NJ,PAS,6/19/2017,SDN,TOYOT,X,25645,32625,32625,19,970,589219,1007A,F,1000A,1130A,0,0,21
2515715736,NY,PAS,7/5/2017,SDN,MAZDA,P,21040,19340,19590,102,102,948629,0812P,F,ALL,ALL,1994,0,98
2524655443,NY,PAS,6/19/2017,SDN,GMC,P,91430,40404,40404,60,60,928038,0440P,O,ALL,ALL,2004,0,98
2496970515,OH,PAS,6/17/2017,SUBN,NISSA,P,47630,23930,40030,83,83,955400,0949A,O,ALL,ALL,0,3,40
2513764434,NY,PAS,7/4/2017,SDN,HYUND,P,63290,21290,21370,113,113,955493,0825P,F,ALL,ALL,2017,0,98
2527428486,NY,PAS,6/17/2017,SUBN,JEEP,P,35080,19630,13830,61,61,959724,0222P,F,ALL,ALL,2017,0,98
2518788775,PA,PAS,7/12/2017,SDN,CHRYS,P,31390,28460,35290,101,101,944676,0950A,F,ALL,ALL,0,0,46
2510484271,NY,PAS,7/4/2017,SUBN,TOYOT,K,11925,13113,16400,25,1,160638,0430P,,ALL,ALL,2016,0,20
2513776076,NY,PAS,5/28/2017,SDN,NISSA,P,29890,41700,61640,101,101,950577,0553P,F,ALL,ALL,2012,0,20
2515714598,NY,PAS,6/16/2017,SDN,DODGE,P,16290,17690,17790,102,102,928404,0920A,F,ALL,ALL,2007,0,98
2517042287,NY,PAS,7/1/2017,SDN,DODGE,P,60790,33540,33640,100,100,961086,0818A,O,ALL,ALL,2004,0,19
2516959901,NY,PAS,7/8/2017,SDN,NISSA,P,25940,20240,49990,103,103,956169,1043A,F,ALL,ALL,2001,15,40
2511473461,NY,PAS,6/5/2017,SUBN,FORD,P,47330,94730,80630,83,83,929643,0100A,F,ALL,ALL,2007,0,20
2525388576,NY,PAS,6/16/2017,SUBN,OECP,P,0,40404,40404,110,3,160287,0850A,O,ALL,ALL,2015,0,20
2523345513,NY,PAS,6/23/2017,SUBN,ME/BE,P,44930,87630,62530,90,90,949723,0525P,F,ALL,ALL,2014,0,46
2516695939,NY,PAS,7/16/2017,SUBN,CHEVR,P,0,0,0,115,302,44977,0858P,F,ALL,ALL,2015,0,14
2525129479,NY,PAS,6/9/2017,SUBN,FORD,P,55960,12550,12550,45,163,953638,0814P,,ALL,ALL,2008,0,63
2527490194,NY,PAS,7/9/2017,SDN,TOYOT,P,14030,86030,36830,63,63,951761,0749P,F,ALL,ALL,2001,0,14
2517014991,NY,PAS,7/2/2017,SDN,NISSA,P,56090,35780,30140,101,101,950434,0330P,F,ALL,ALL,2011,0,14
2524267285,FL,PAS,6/23/2017,,,P,0,0,0,10,10,959838,0216A,F,ALL,ALL,0,0,40
2527427676,NY,PAS,6/22/2017,SUBN,FORD,P,14780,67530,35730,61,61,960564,0121A,O,ALL,ALL,2015,0,19
2515333091,NY,PAS,6/2/2017,SUBN,JEEP,F,76430,34330,56630,75,950,955893,1145A,F,ALL,ALL,2017,0,14
2515720941,PA,PAS,6/9/2017,SDN,AUDI,P,27190,38352,22870,105,105,957743,0918P,F,ALL,ALL,2014,0,19
2523638528,NY,PAS,7/17/2017,SUBN,HONDA,S,10920,15920,65320,41,0,0,0929A,F,0900A,1030A,2014,0,21
2527430495,NY,PAS,6/16/2017,SDN,,P,35380,54050,14480,61,61,935899,0214A,F,ALL,ALL,2007,1,40
2527353735,NY,PAS,6/18/2017,SDN,KIA,P,0,0,0,60,60,946438,0700P,,ALL,ALL,2015,0,20
2527164112,NY,PAS,7/14/2017,SUBN,NISSA,P,0,40404,40404,123,123,924593,0215A,O,ALL,ALL,2015,4,40
2525156551,PA,PAS,7/3/2017,SDN,HONDA,P,28740,27480,0,52,52,961541,0730P,F,ALL,ALL,0,0,46
2510617968,NY,PAS,7/7/2017,SDN,TOYOT,K,34220,26850,26880,42,2,161277,1009A,O,0900A,1030A,0,0,21
2497186390,NY,PAS,6/19/2017,SUBN,CHEVR,X,0,40404,40404,13,839,111165,1214P,F,1100A,0200P,2013,0,21
2527651029,NY,PAS,6/11/2017,SUBN,HONDA,P,55960,12550,12550,45,163,925958,0807P,,ALL,ALL,2001,0,63
2484357189,NY,PAS,7/17/2017,SDN,TOYOT,P,0,97530,0,115,302,47214,0422P,F,ALL,ALL,2014,0,19
2512090891,NY,PAS,6/27/2017,SUBN,GMC,P,0,40404,40404,113,642,47910,0810P,F,ALL,ALL,2015,0,14
2518789779,NY,PAS,7/6/2017,VAN,FORD,P,56090,30240,30290,101,101,939900,0950A,F,ALL,ALL,2002,0,14
2514005929,NY,PAS,6/23/2017,SDN,LINCO,P,51090,58590,24040,103,103,955990,0730P,F,ALL,ALL,2006,0,19
2515961990,NY,PAS,6/19/2017,SDN,HONDA,X,25645,97690,29605,19,977,447895,1027A,O,1000A,1130A,0,0,21
2525406992,NY,OMT,6/11/2017,SUBN,TOYOT,P,13235,10990,11090,110,3,160186,0430P,O,ALL,ALL,2014,0,20
2524764335,NY,PAS,6/2/2017,SDN,NISSA,P,15480,70930,18830,75,75,958655,0955P,F,ALL,ALL,0,0,98
2511488543,NY,PAS,6/7/2017,SDN,NISSA,P,19830,70630,30430,75,75,954537,0846A,O,ALL,ALL,2014,0,98
2510604214,NY,PAS,7/4/2017,SDN,HYUND,K,0,0,0,122,5,160098,1245A,,ALL,ALL,2009,0,63
2518786111,NY,PAS,5/28/2017,SDN,NISSA,P,30240,57090,39790,101,101,957886,1047A,F,ALL,ALL,2010,0,46
2514014761,NY,PAS,6/21/2017,SDN,TOYOT,P,19790,24940,25050,103,103,950888,1220A,F,ALL,ALL,0,0,46
2518556554,NY,PAS,7/10/2017,SDN,HONDA,P,60520,23800,62420,43,808,945221,0426P,F,ALL,ALL,2007,0,46
2516700111,NY,PAS,7/8/2017,SDN,TOYOT,P,0,40404,40404,113,642,47948,0800P,F,ALL,ALL,2011,0,14
2524441479,NY,PAS,7/10/2017,SUBN,HONDA,P,64790,18140,51090,103,883,346406,0441P,F,0400P,0700P,2007,0,14
2515535704,NY,PAS,6/30/2017,SUBN,FORD,P,81430,86630,73430,77,802,961449,0453P,F,ALL,ALL,2005,0,40
2513611550,NY,PAS,6/13/2017,SDN,NISSA,P,49690,22640,22840,103,103,950510,1100P,O,ALL,ALL,2010,0,98
2514014116,NY,PAS,6/26/2017,SDN,LEXUS,P,24690,53790,19640,103,103,952497,1205A,F,ALL,ALL,2015,0,98
2462665007,NY,PAS,7/4/2017,SDN,BMW,P,63430,69230,13490,88,88,940307,0620P,O,ALL,ALL,2006,0,98
2516960959,NY,PAS,7/16/2017,VAN,FORD,P,0,0,0,103,103,903618,1113P,F,ALL,ALL,2003,0,19
2515727580,NY,PAS,6/19/2017,SUBN,NISSA,P,55590,63290,26840,105,105,931865,0950A,F,ALL,ALL,1996,0,46
2527600881,NY,PAS,7/5/2017,SUBN,SATUR,P,77150,28440,28470,47,47,956321,1215A,F,ALL,ALL,2005,0,46
2499895050,NY,PAS,6/17/2017,SDN,,P,50750,60570,46340,43,0,141,0835A,F,ALL,ALL,0,0,14
2526816788,PA,PAS,6/30/2017,SDN,TOYOT,S,16790,54102,28990,102,0,668016,0116A,F,1500A,11A,0,0,21
2497186226,NY,PAS,6/19/2017,CONV,MAZDA,X,17390,13113,31710,13,839,111165,1206P,F,1100A,0200P,2001,0,21
2515958876,NY,PAS,6/18/2017,SUBN,CHRYS,X,25645,32625,32625,19,977,501975,1221A,,ALL,ALL,2005,0,20
2515366213,NY,PAS,6/9/2017,SUBN,NISSA,F,7040,6440,6590,114,312,916227,0907P,F,ALL,ALL,2003,0,40
2510509734,NY,PAS,7/9/2017,SDN,HONDA,K,20830,25810,0,34,1,160695,1120P,,1000P,0600A,2016,0,14
2517403924,PA,PAS,6/13/2017,SDN,HYUND,P,10810,97940,22450,32,806,930115,0306A,O,ALL,ALL,0,0,20
2515726746,NY,PAS,6/15/2017,SUBN,DODGE,P,60810,23010,23010,105,105,915643,1019A,F,ALL,ALL,2017,0,46
2515343456,NY,PAS,7/11/2017,SUBN,JEEP,F,40930,53630,0,84,0,916910,0924A,,ALL,ALL,2014,0,14
2515958529,PA,PAS,7/16/2017,SDN,HONDA,X,25645,13113,13113,19,977,748191,0304P,F,ALL,ALL,0,0,20
2510602552,NY,PAS,7/6/2017,SDN,SATUR,K,0,0,0,122,5,160230,1026P,,ALL,ALL,2004,0,63
2514016319,NY,PAS,7/15/2017,VAN,FORD,P,0,0,0,103,103,954591,1052P,,ALL,ALL,2009,0,14
2526817110,NY,PAS,7/10/2017,SDN,NISSA,S,23290,49690,17790,103,0,625012,0818A,F,0800A,0830A,2014,0,21
2513876133,PA,PAS,6/17/2017,SDN,SCION,P,55590,45890,27097,105,105,947504,1007A,F,ALL,ALL,0,0,46
2513837875,NY,PAS,6/18/2017,SUBN,TOYOT,P,25190,35780,41700,107,107,959819,0552A,F,ALL,ALL,2011,0,20
2526828663,NY,PAS,7/18/2017,SUBN,HONDA,S,44690,22390,22520,113,0,588810,0940A,F,0930A,1100,2004,0,21
2515961486,NY,PAS,6/23/2017,SDN,FORD,X,25645,32625,32625,19,977,947077,1020P,F,ALL,ALL,2017,3,40
2515963112,NY,PAS,7/7/2017,SDN,CHEVR,X,25645,13113,45100,19,972,569012,1031A,F,0700A,0100P,2004,0,14
2518785500,NY,PAS,7/5/2017,SUBN,FORD,P,31390,28460,35290,101,101,945806,0100P,F,ALL,ALL,2004,0,46
2499889472,NY,PAS,7/8/2017,SUBN,FORD,P,0,40404,40404,43,0,123,0543A,F,ALL,ALL,1999,0,19
2527538929,NY,PAS,6/22/2017,SDN,BMW,P,9620,22920,40320,49,49,959331,1050P,F,ALL,ALL,2007,0,46
2513858351,NY,PAS,6/11/2017,SDN,FIAT,P,67590,43110,55890,107,107,653245,0150P,F,ALL,ALL,2015,0,98
2510603155,NY,PAS,6/14/2017,SDN,NISSA,K,0,0,0,122,5,160098,1205A,O,ALL,ALL,2015,0,63
2524446453,NY,PAS,7/14/2017,SDN,HYUND,P,55930,55830,44330,75,504,332045,0924A,F,0900A,1030A,2013,0,21
2460645579,NY,PAS,7/8/2017,SDN,SMART,P,62430,55430,58330,90,90,956785,0300P,F,ALL,ALL,2017,0,21
2516704114,NY,PAS,7/16/2017,SUBN,INFI,P,0,0,0,113,642,47919,1215A,F,ALL,ALL,2016,0,14
2510403555,NY,PAS,6/20/2017,SDN,HONDA,S,39595,8790,9140,109,0,637003,0921A,,0900A,1030A,2006,0,21
2511752532,NY,PAS,6/22/2017,SUBN,CHEVR,P,37525,40404,40404,0,683,915546,0845A,O,0700A,0400P,2016,0,20
2525321390,NY,PAS,6/11/2017,SDN,BMW,P,13235,0,0,110,3,160549,0451P,O,ALL,ALL,2005,0,20
2527070531,NY,PAS,7/15/2017,SUBN,INFIN,S,6880,9980,17380,62,0,686282,0747A,F,0730A,0800A,2004,0,21
2527167587,PA,PAS,6/27/2017,SDN,TOYOT,P,47475,40404,40404,122,122,951821,0830A,F,ALL,ALL,0,0,40
2522945557,NY,PAS,6/11/2017,SDN,NISSA,P,90880,76330,70165,60,60,961729,0905A,F,ALL,ALL,0,0,40
2524439722,NY,PAS,6/23/2017,SUBN,GMC,P,38730,17690,17790,78,504,332045,0711A,O,ALL,ALL,2007,1,40
2397846757,NJ,PAS,7/19/2017,SDN,FORD,P,26230,40930,18630,70,0,354144,1214A,F,ALL,ALL,0,0,21
2479029347,NY,PAS,6/17/2017,SDN,VOLKS,C,50300,47568,33990,120,0,0,0600P,F,ALL,ALL,2012,0,14
2512932761,NY,PAS,6/19/2017,SUBN,NISSA,P,75430,38330,58530,71,71,944851,0130P,F,ALL,ALL,2013,2,40
2513660291,NY,PAS,7/15/2017,SDN,HONDA,P,19940,19990,20240,106,106,957529,0310A,F,ALL,ALL,2017,0,40
2513840542,NY,PAS,6/23/2017,S,TOYOT,P,25600,35780,13290,107,107,904913,0208A,F,ALL,ALL,2013,0,14
2510509539,NY,PAS,6/26/2017,SUBN,HONDA,P,13910,11635,0,34,1,160626,0745P,F,ALL,ALL,2012,0,14
2527809048,NC,PAS,6/13/2017,VAN,NISSA,P,20490,97760,10935,4,4,961183,0716P,F,ALL,ALL,0,0,40
2513431883,NY,PAS,6/25/2017,SUBN,MITSU,P,31410,52550,52850,120,120,944359,0755P,F,ALL,ALL,2003,0,40
2518558461,NY,PAS,6/11/2017,SDN,,P,0,40404,40404,43,808,944148,0938A,F,ALL,ALL,2013,0,40
2523640653,NY,PAS,7/3/2017,SDN,NISSA,S,45020,8320,9320,49,0,0,1200P,F,1130A,0100P,1998,0,21
2514012520,NY,PAS,6/27/2017,SDN,FORD,P,51090,58590,24040,103,103,955763,0557P,F,ALL,ALL,2005,0,14
2513987941,NY,PAS,6/23/2017,SDN,DODGE,P,20090,53790,19990,106,106,961932,0340A,F,ALL,ALL,2006,0,40
2518785043,NY,PAS,6/22/2017,SDN,AUDI,P,48090,48210,56090,101,101,961293,0406A,,ALL,ALL,2006,0,40
2524760368,NY,OMT,6/29/2017,SUBN,HONDA,P,0,40404,40404,75,75,961043,0940P,F,ALL,ALL,2002,0,98
2527427226,NY,PAS,6/9/2017,SUBN,DODGE,P,14830,90530,92430,61,61,923465,0248A,F,ALL,ALL,2013,0,40
2513841829,NY,PAS,7/3/2017,SDN,ACURA,P,17690,35780,22840,107,107,943958,0132A,F,ALL,ALL,2006,0,98
2513410035,NY,PAS,7/11/2017,SDN,GMC,P,44900,38445,25365,120,120,961528,0625P,O,ALL,ALL,2007,0,46
2527352743,NJ,PAS,6/19/2017,SDN,MINI,P,0,0,0,76,676,952287,1240A,,ALL,ALL,0,0,14
2513762322,NY,PAS,7/17/2017,SDN,NISSA,P,21070,23490,23640,113,113,946229,0825P,F,ALL,ALL,1997,0,98
2484970187,NY,PAS,6/19/2017,SUBN,CHEVR,X,67830,18030,49730,60,985,100391,1141A,F,1130A,0100P,2016,0,21
2525128293,PA,PAS,7/6/2017,SDN,JAGUA,P,45120,29620,30120,45,45,946856,0140P,F,ALL,ALL,0,0,98
2523317066,NY,PAS,6/4/2017,SDN,KIA,P,42730,39930,70630,75,75,954952,1120A,F,ALL,ALL,0,0,14
2517397171,NY,PAS,6/24/2017,SDN,SMART,P,8290,25890,25940,111,111,938022,1005P,,ALL,ALL,2016,0,98
2516698886,NY,PAS,7/2/2017,SDN,TOYOT,P,0,40404,40404,113,642,47263,0758A,F,ALL,ALL,2016,0,14
2452734575,NY,PAS,6/24/2017,SDN,,P,10010,40404,40404,32,32,952451,0420A,F,ALL,ALL,0,0,46
2513719831,NY,PAS,7/13/2017,SDN,NISSA,P,51090,26860,26890,105,105,956719,1010P,F,ALL,ALL,2013,0,46
2524443336,NY,PAS,6/22/2017,,FORD,P,20810,23640,23790,113,504,333060,0706A,F,ALL,ALL,2017,2,40
2527342968,NY,PAS,6/11/2017,SUBN,CADIL,P,0,0,0,76,76,957124,0633A,,ALL,ALL,2015,0,14
2527482663,NY,PAS,6/11/2017,SUBN,BMW,P,37380,14180,14230,63,63,942411,0328A,F,ALL,ALL,2015,0,40
2510679403,NY,OMT,6/20/2017,TAXI,NISSA,K,34570,11112,0,10,1,160658,1016A,,ALL,ALL,2014,0,20
2515078371,NY,PAS,6/24/2017,SDN,LEXUS,P,0,0,0,28,136,948302,0917P,,ALL,ALL,2016,0,40
2515964001,NC,PAS,6/30/2017,SUBN,CHRYS,X,25645,32625,32625,19,977,582095,0635P,O,ALL,ALL,0,0,46
2511999215,NY,PAS,7/14/2017,SDN,VOLKS,S,60790,33640,33690,100,0,538169,0839A,O,0830A,1000A,1999,0,21
2510485237,NY,PAS,6/11/2017,SUBN,ROVER,K,29370,0,0,25,1,160638,0852A,O,ALL,ALL,2016,0,14
2516203897,NY,PAS,6/11/2017,SUBN,NISSA,P,55960,12550,12550,45,163,951360,0811P,,ALL,ALL,2006,0,63
2527316131,PA,PAS,6/24/2017,FOUR,CADIL,S,13220,32830,58960,45,0,584562,0131A,F,1200A,300,0,0,21
2527483692,NY,PAS,7/17/2017,SDN,NISSA,P,14180,37472,0,63,63,939650,0120A,,ALL,ALL,2012,0,40
2527494392,NY,PAS,6/28/2017,SDN,BMW,P,75530,51030,20530,84,0,955328,0317A,O,ALL,ALL,2008,0,14
2523592863,NY,PAS,6/22/2017,SUBN,MAZDA,P,89930,64410,33360,84,509,938219,0836A,F,ALL,ALL,2016,0,98
2510452645,NY,PAS,6/11/2017,SDN,SUBAR,K,29370,0,0,25,1,160638,0627P,O,ALL,ALL,2004,0,20
2514315019,NY,PAS,6/9/2017,SDN,INFIN,P,11010,37700,37701,34,34,933160,0957P,F,ALL,ALL,2017,0,46
2510589456,NY,PAS,6/27/2017,SDN,CADIL,K,46850,36500,0,122,5,160250,1003P,,ALL,ALL,2007,0,63
2510442871,PA,PAS,7/11/2017,SUBN,DODGE,X,9180,5010,5130,72,0,831528,0111A,F,1200A,0300A,0,0,21
2515965046,NY,PAS,6/29/2017,SDN,TOYOT,X,25645,45100,32625,19,977,668907,1033A,F,1000A,1130A,2012,0,21
2527479012,NY,PAS,7/3/2017,VAN,FORD,P,40930,14030,36330,63,63,943157,0603P,,ALL,ALL,2010,0,46
2527808056,NY,PAS,6/7/2017,SUBN,NISSA,P,0,0,0,7,7,937228,1025P,,ALL,ALL,1998,1,40
2402607720,NY,PAS,6/25/2017,VAN,DODGE,F,52320,73420,38525,43,96,919091,1000A,F,ALL,ALL,2007,0,40
2513710166,NY,PAS,7/18/2017,SDN,HYUND,P,60790,34340,34390,100,100,943219,0854A,F,ALL,ALL,2013,0,19
2518804110,NY,PAS,6/10/2017,VAN,DODGE,P,34810,57970,60790,100,100,953224,0620P,F,ALL,ALL,1997,0,14
2513735938,NY,PAS,7/12/2017,VAN,TOYOT,P,17640,35780,22840,107,107,963250,0905P,F,ALL,ALL,2011,0,98
2510323158,NY,PAS,7/7/2017,SDN,NISSA,S,23030,60810,24390,105,0,601590,0150A,O,0000A,0300A,2001,0,21
2525321378,NY,999,6/11/2017,SUBN,GMC,K,0,0,0,110,3,160549,0443P,,ALL,ALL,2005,0,20
2515963719,NY,PAS,6/22/2017,SDN,NISSA,X,25645,97690,29605,19,977,668907,1018A,O,1000A,1130A,0,0,21
2527429296,NY,PAS,6/16/2017,SUBN,JEEP,P,28830,14780,32480,61,61,971202,0430P,F,ALL,ALL,2015,0,46
2518764862,NY,PAS,6/12/2017,SDN,ACURA,P,51090,21690,21740,102,102,950003,0851P,O,ALL,ALL,2006,0,40
2510544436,NY,PAS,7/10/2017,SUBN,JEEP,P,0,36500,0,122,5,160579,1030P,,ALL,ALL,2017,0,63
2512139021,NY,PAS,6/21/2017,SDN,KIA,P,85330,69230,63030,79,824,952772,0825P,F,ALL,ALL,2016,0,46
2527145555,NY,PAS,7/16/2017,SUBN,TOYOT,P,0,0,0,123,123,961307,0205A,F,ALL,ALL,2003,0,46
2525397772,NY,PAS,6/28/2017,SDN,TOYOT,K,14010,20090,20640,5,1,160473,0714P,O,ALL,ALL,2005,0,98
2510654886,NY,PAS,7/4/2017,SUBN,TOYOT,K,72630,5530,5630,78,4,166199,0303P,,0600A,0600P,2015,0,20
2509860791,99,PAS,6/24/2017,SDN,,P,38430,41930,18630,79,110,358931,0623A,O,ALL,ALL,0,0,14
2240977678,NY,PAS,6/23/2017,SDN,NISSA,F,9690,18740,18840,110,0,919821,0945P,F,ALL,ALL,2017,0,40
2449290568,PA,PAS,6/4/2017,SDN,NISSA,P,70930,12430,50830,73,165,901557,1215P,O,ALL,ALL,0,0,46
2469261353,PA,PAS,6/26/2017,SDN,MAZDA,P,35290,33540,61710,100,100,961649,0323P,O,ALL,ALL,2010,0,19
2510602242,NY,PAS,7/3/2017,SDN,FORD,K,0,46850,0,122,5,160579,1034P,,ALL,ALL,2003,0,63
2515538040,NY,PAS,7/13/2017,SDN,HONDA,P,56230,55930,38730,75,802,954071,0235A,F,ALL,ALL,2007,2,40
2510677485,NY,PAS,7/4/2017,SDN,HONDA,K,34070,11010,0,6,1,160656,0137P,F,0800A,0600P,2010,0,20
2515963732,NY,PAS,6/22/2017,SUBN,HONDA,X,25645,97690,29605,19,977,668907,1022A,F,1000A,1130A,2010,0,21
2516702828,NY,PAS,6/24/2017,SDN,HYUND,P,0,40404,40404,113,642,0,1030A,F,ALL,ALL,2014,0,14
2511819298,TX,PAS,6/8/2017,SDN,DODGE,P,19290,27790,24890,25,25,943705,0130A,F,ALL,ALL,0,5,40
2526815899,NY,PAS,7/17/2017,SDN,HONDA,S,17790,55590,24490,103,0,686996,0811A,O,0800A,0830A,2009,0,21
2517379648,NY,OMT,6/20/2017,SDN,TOYOT,X,5430,9730,9780,72,972,330827,0315P,F,ALL,ALL,2012,0,46
2513837281,NY,PAS,7/12/2017,SDN,HYUND,P,0,0,0,107,107,957739,0122A,,ALL,ALL,2010,0,20
2517403481,NY,OMS,6/16/2017,SDN,CHEVR,P,10810,10490,13113,32,806,927026,0410A,O,ALL,ALL,2016,0,20
2510509009,NY,PAS,6/27/2017,FOUR,TOYOT,K,11700,0,0,34,1,160633,1123A,F,ALL,ALL,2015,0,20
2524442125,NY,PAS,6/27/2017,SDN,HYUND,P,16040,66690,54580,107,883,330391,0826A,O,ALL,ALL,2013,0,20
2513610111,NY,PAS,6/9/2017,SDN,LINCO,P,51090,58590,24040,103,103,956171,0930A,O,ALL,ALL,2007,0,14
2523859571,NY,PAS,7/10/2017,VAN,FORD,P,24570,10320,67520,45,0,951453,0335A,F,ALL,ALL,2012,0,19
2510604073,NY,PAS,7/10/2017,SDN,MITSU,P,0,46850,0,122,5,160098,1225A,O,ALL,ALL,2003,0,63
2510366893,NY,PAS,7/7/2017,SDN,SUBAR,S,29020,21940,35780,109,0,685688,1245A,F,1200A,0300A,2015,0,21
2526816247,NY,PAS,6/29/2017,SDN,TOYOT,S,51090,25200,35780,103,0,620510,0312A,F,0300A,0600A,2012,0,21
2513398571,PA,PAS,7/13/2017,SUBN,NISSA,P,23750,52400,28280,120,120,958822,0715A,F,ALL,ALL,2016,0,14
2516187520,NJ,PAS,7/4/2017,SDN,MAZDA,P,63220,22240,12550,45,45,943326,1231A,F,ALL,ALL,0,0,98
2517068331,NJ,PAS,6/27/2017,SDN,TOYOT,P,31390,35290,27820,101,101,961282,0236A,O,ALL,ALL,0,1,40
2510453273,NY,PAS,7/8/2017,SUBN,CHEVR,K,13385,40404,40404,25,1,161461,0625P,O,ALL,ALL,2002,0,20
2513672539,NY,PAS,7/4/2017,SDN,,P,0,0,0,100,100,933620,0000A,,ALL,ALL,2001,0,20
2517671280,NY,PAS,6/20/2017,SUBN,FORD,P,0,0,0,0,163,942597,0921P,,ALL,ALL,2005,0,46
2512000116,NY,PAS,6/28/2017,CONV,BMW,S,37290,10640,57490,114,0,669776,0750A,F,0730A,0800A,2011,0,21
2512162931,NY,PAS,6/7/2017,SDN,FORD,P,88130,83330,55530,79,803,941739,0435A,F,ALL,ALL,1999,0,40
2510617853,NY,PAS,7/7/2017,SDN,TOYOT,K,34220,26820,26850,42,2,161277,1002A,O,ALL,ALL,2017,0,21
2515750831,NY,PAS,7/6/2017,SDN,TOYOT,P,0,40404,40404,105,105,951049,0847A,F,ALL,ALL,2002,0,19
2499892379,NY,PAS,6/17/2017,SUBN,K1A,P,50750,60570,46340,43,0,161,0656A,F,ALL,ALL,2010,0,20
2527413950,NY,PAS,7/10/2017,SUBN,KIA,P,36130,14030,14080,70,70,959948,0800P,F,ALL,ALL,2015,0,98
2469263661,NY,PAS,7/16/2017,SUBN,NISSA,P,32490,60790,32240,100,100,943392,0520P,O,ALL,ALL,0,0,14
2524644811,NY,PAS,6/17/2017,SUBN,NISSA,P,37580,41030,14080,69,69,958220,1000P,O,ALL,ALL,2011,0,98
2515718001,NY,PAS,7/4/2016,SDN,TOYOT,P,26235,20460,39580,105,105,930305,0039A,F,ALL,ALL,2008,0,98
2469260800,NY,PAS,7/4/2017,P-U,DODGE,P,64151,15635,49295,100,100,960931,0402P,O,ALL,ALL,2017,0,20
2499892318,NY,PAS,7/9/2017,SDN,TOYOT,P,50770,70520,12550,43,0,161,0728P,F,ALL,ALL,2003,0,14
2515450755,NY,PAS,6/29/2017,SDN,NISSA,P,47290,14690,14590,104,104,935991,1130A,F,ALL,ALL,2012,0,40
2527490961,FL,PAS,6/25/2017,SUBN,CHEVR,P,20530,56530,75530,84,0,948456,1057A,O,ALL,ALL,0,0,14
2525129481,NY,PAS,6/9/2017,SUBN,GMC,P,55960,12550,12550,45,163,953683,0816P,,ALL,ALL,2002,0,63
2479028628,NY,PAS,6/25/2017,SUBN,GMC,C,50300,53900,47568,120,0,0,0737P,F,ALL,ALL,2008,0,14
2510449348,NY,PAS,7/4/2017,SDN,HYUND,K,29370,13570,0,25,1,160638,0739P,,ALL,ALL,2010,0,20
2526816520,NY,PAS,7/10/2017,SUBN,HONDA,S,24990,49690,18140,103,0,580056,1151A,O,1130A,0100P,2016,0,21
2527176187,NY,PAS,6/21/2017,SUBN,DODGE,P,0,40404,40404,123,123,946002,1129P,F,ALL,ALL,2012,0,14
2515726448,NY,PAS,6/14/2017,SDN,NISSA,P,19590,26860,26890,105,105,917655,0527P,F,ALL,ALL,2014,0,98
2515965011,NY,PAS,6/29/2017,SDN,ME/BE,X,25645,32625,32625,19,977,668907,1017A,F,1000A,1130,2014,0,21
2527581756,NY,PAS,7/2/2017,SDN,BMW,P,30220,67020,30020,47,47,955798,0411A,,ALL,ALL,2007,0,98
2447827492,NY,PAS,6/11/2017,SDN,HONDA,X,23200,0,0,106,0,0,1148A,F,ALL,ALL,2009,0,19
2527643001,NY,999,6/16/2017,SUBN,NISSA,P,21820,27060,27090,46,46,961561,1258A,F,ALL,ALL,2015,0,98
